Region,Month,Date,Sales
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Apr-21,22-04-2021,95
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,May-21,23-05-2021,105
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Jun-21,22-06-2021,119
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Jul-21,23-07-2021,130
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Aug-21,23-08-2021,158
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Sep-21,22-09-2021,144
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Oct-21,23-10-2021,165
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Nov-21,22-11-2021,169
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Dec-21,23-12-2021,138
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Jan-22,23-01-2022,143
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Feb-22,20-02-2022,152
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Mar-22,23-03-2022,138
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Apr-22,22-04-2022,137
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,May-22,23-05-2022,128
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Jun-22,22-06-2022,125
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Jul-22,23-07-2022,141
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Aug-22,23-08-2022,151
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Sep-22,22-09-2022,169
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Oct-22,23-10-2022,175
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Nov-22,22-11-2022,191
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Dec-22,23-12-2022,191
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Jan-23,23-01-2023,177
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Feb-23,20-02-2023,186
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Mar-23,23-03-2023,201
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,Apr-23,22-04-2023,221
TOTAL NIGERIA WITH SEMI-R & SUPERMARKET,May-23,23-05-2023,226
